std Years = 1981-2010
DOY,   Average Extent,   Std Deviation,      10th,      25th,      50th,      75th,      90th
001,           13.778,           0.407,    13.183,    13.479,    13.823,    14.095,    14.257
002,           13.842,           0.434,    13.201,    13.538,    13.886,    14.164,    14.321
003,           13.891,           0.443,    13.264,    13.502,    13.884,    14.283,    14.369
004,           13.930,           0.443,    13.284,    13.590,    13.925,    14.288,    14.417
005,           13.978,           0.437,    13.349,    13.617,    14.036,    14.304,    14.470
006,           14.028,           0.447,    13.388,    13.645,    14.139,    14.359,    14.512
007,           14.091,           0.440,    13.473,    13.761,    14.188,    14.419,    14.547
008,           14.132,           0.451,    13.454,    13.846,    14.303,    14.434,    14.595
009,           14.170,           0.455,    13.513,    13.797,    14.310,    14.493,    14.640
010,           14.196,           0.461,    13.570,    13.915,    14.240,    14.507,    14.696
011,           14.245,           0.452,    13.666,    13.917,    14.265,    14.523,    14.744
012,           14.275,           0.464,    13.645,    13.980,    14.332,    14.593,    14.787
013,           14.328,           0.452,    13.721,    14.060,    14.398,    14.623,    14.833
014,           14.369,           0.462,    13.746,    14.042,    14.401,    14.724,    14.863
015,           14.405,           0.468,    13.800,    14.064,    14.449,    14.743,    14.975
016,           14.448,           0.452,    13.812,    14.160,    14.476,    14.787,    14.985
017,           14.489,           0.468,    13.812,    14.213,    14.526,    14.854,    15.012
018,           14.527,           0.494,    13.821,    14.253,    14.602,    14.932,    15.071
019,           14.581,           0.475,    13.889,    14.324,    14.638,    14.977,    15.155
020,           14.619,           0.488,    13.956,    14.362,    14.715,    15.018,    15.185
021,           14.640,           0.510,    13.950,    14.285,    14.698,    15.035,    15.246
022,           14.677,           0.501,    14.002,    14.376,    14.680,    15.072,    15.289
023,           14.719,           0.489,    14.067,    14.437,    14.731,    15.069,    15.339
024,           14.748,           0.486,    14.153,    14.483,    14.717,    15.049,    15.373
025,           14.781,           0.494,    14.149,    14.585,    14.773,    15.110,    15.387
026,           14.813,           0.509,    14.129,    14.539,    14.783,    15.192,    15.388
027,           14.852,           0.506,    14.213,    14.549,    14.803,    15.248,    15.442
028,           14.899,           0.518,    14.200,    14.636,    14.880,    15.287,    15.512
029,           14.920,           0.511,    14.206,    14.636,    14.892,    15.339,    15.548
030,           14.953,           0.517,    14.262,    14.681,    14.954,    15.351,    15.570
031,           14.989,           0.521,    14.223,    14.712,    14.963,    15.388,    15.633
032,           15.040,           0.518,    14.221,    14.743,    15.040,    15.416,    15.644
033,           15.075,           0.503,    14.360,    14.809,    15.076,    15.425,    15.655
034,           15.089,           0.504,    14.320,    14.806,    15.147,    15.450,    15.670
035,           15.098,           0.501,    14.309,    14.789,    15.171,    15.429,    15.669
036,           15.122,           0.493,    14.313,    14.858,    15.222,    15.481,    15.663
037,           15.136,           0.492,    14.316,    14.849,    15.173,    15.507,    15.664
038,           15.158,           0.486,    14.341,    14.896,    15.204,    15.482,    15.661
039,           15.188,           0.482,    14.348,    14.960,    15.229,    15.519,    15.733
040,           15.212,           0.457,    14.434,    14.985,    15.266,    15.535,    15.781
