Extent,Prediction
7.21,7.041
7.21,7.059
7.265,7.087
7.216,7.041
7.157,7.145
7.145,7.106
7.079,7.121
7.123,7.127
7.041,7.174
7.019,7.19
7.072,7.177
6.967,7.117
6.89,7.223
6.909,7.205
7.008,7.233
7.041,7.353
7.059,7.397
7.087,7.459
7.041,7.51
7.145,7.571
7.106,7.648
7.121,7.665
7.127,7.653
7.174,7.694
7.19,7.757
7.177,7.834
7.117,8.039
7.223,8.221
7.205,8.311
7.233,8.508
7.353,8.486
7.397,8.587
7.459,8.635
7.51,8.675
7.571,8.691
7.648,8.851
7.665,8.874
7.653,8.837
7.694,8.984
7.757,9.088
7.834,8.996
8.039,8.997
8.221,9.04
8.311,9.046
8.508,9.141
8.486,9.228
8.587,9.322
8.635,9.441
8.675,9.471
8.691,9.498
8.851,9.468
8.874,9.448
8.837,9.478
8.984,9.587
9.088,9.709
8.996,9.867
8.997,9.988
9.04,10.163
9.046,10.214
9.141,10.256
9.228,10.297
9.322,10.381
9.441,10.404
9.471,10.482
9.498,10.599
9.468,10.679
9.448,10.771
9.478,10.89
9.587,10.973
9.709,11.139
9.867,11.203
9.988,11.302
10.163,11.436
10.214,11.508
10.256,11.448
10.297,11.485
10.381,11.592
10.404,11.635
10.482,11.712
10.599,11.745
10.679,11.847
10.771,11.934
10.89,12.003
10.973,12.073
11.139,12.137
11.203,12.185
11.302,12.228
11.436,12.497
11.508,12.584
11.448,14.854
11.485,14.973
11.592,14.987
11.635,15.0
11.712,15.051
11.745,15.047
11.847,15.049
11.934,15.113
12.003,15.09
12.073,15.085
12.137,15.022
12.185,15.02
12.228,15.115
12.497,15.163
12.584,15.241
14.854,15.278
14.973,15.362
14.987,15.443
15.0,15.56
15.051,15.568
15.047,15.462
15.049,15.479
15.113,15.413
15.09,15.448
15.085,15.313
15.022,15.309
15.02,15.276
15.115,15.304
15.163,15.292
15.241,15.326
15.278,15.332
15.362,15.363
15.443,15.379
15.56,15.476
15.568,15.443
15.462,15.471
15.479,15.546
15.413,15.639
15.448,15.73
15.313,15.831
15.309,16.015
15.276,15.906
15.304,15.836
15.292,15.962
15.326,16.017
15.332,16.111
15.363,16.111
15.379,16.129
15.476,16.162
15.443,16.179
15.471,16.099
15.546,16.137
15.639,16.169
15.73,16.24
15.831,16.247
16.015,16.244
15.906,16.309
15.836,16.296
15.962,16.276
16.017,16.182
16.111,16.013
16.111,15.983
16.129,15.96
16.162,15.847
16.179,15.871
16.099,15.835
16.137,15.815
16.169,15.758
16.24,15.861
16.247,15.781
16.244,15.743
16.309,15.702
16.296,15.748
16.276,15.737
16.182,15.676
16.013,15.63
15.983,15.522
15.96,15.523
15.847,15.523
15.871,15.562
15.835,15.598
15.815,15.601
15.758,15.534
15.861,15.514
15.781,15.536
15.743,15.49
15.702,15.489
15.748,15.447
15.737,15.341
15.676,15.273
15.63,15.193
15.522,15.179
15.523,15.164
15.523,15.152
15.562,15.107
15.598,15.031
15.601,15.062
15.534,15.037
15.514,14.91
15.536,14.917
15.49,14.829
15.489,14.62
15.447,14.617
15.341,14.584
15.273,14.637
15.193,14.635
15.179,14.578
15.164,14.54
15.152,14.362
15.107,14.318
15.031,14.298
15.062,14.234
15.037,14.159
14.91,14.112
14.917,14.057
14.829,14.02
14.62,13.957
14.617,13.909
14.584,13.827
14.637,13.765
14.635,13.696
14.578,13.657
14.54,13.599
14.362,13.589
14.318,13.513
14.298,13.486
14.234,13.391
14.159,13.289
14.112,13.224
14.057,13.17
14.02,13.125
13.957,13.098
13.909,13.078
13.827,13.034
13.765,12.983
13.696,12.918
13.657,12.871
13.599,12.828
13.589,12.82
13.513,12.608
13.486,12.527
13.391,12.448
13.289,12.451
13.224,12.454
13.17,12.411
13.125,12.384
13.098,12.336
13.078,12.211
13.034,12.177
12.983,12.183
12.918,12.116
12.871,12.048
12.828,12.044
12.82,12.045
12.608,11.961
12.527,11.978
12.448,11.869
12.451,11.803
12.454,11.739
12.411,11.752
12.384,11.693
12.336,11.571
12.211,11.543
12.177,11.635
12.183,11.39
12.116,11.376
12.048,11.267
12.044,11.145
12.045,11.138
11.961,10.98
11.978,10.919
11.869,10.885
11.803,10.769
11.739,10.712
11.752,10.61
11.693,10.49
11.571,10.387
11.543,10.306
11.635,10.267
11.39,10.218
11.376,10.141
11.267,9.982
11.145,9.939
11.138,9.765
10.98,9.738
10.919,9.719
10.885,9.673
10.769,9.568
10.712,9.527
10.61,9.459
10.49,9.376
10.387,9.191
10.306,9.045
10.267,9.095
10.218,9.09
10.141,8.995
9.982,8.925
9.939,8.803
9.765,8.778
9.738,8.717
9.719,8.588
9.673,8.518
9.568,8.478
9.527,8.427
9.459,8.382
9.376,8.413
9.191,8.355
9.045,8.399
9.095,8.27
9.09,8.107
8.995,8.114
8.925,8.017
8.803,8.005
8.778,7.949
8.717,7.922
8.588,7.865
8.518,7.84
8.478,7.731
8.427,7.719
8.382,7.735
8.413,7.719
8.355,7.635
8.399,7.524
8.27,7.5
8.107,7.372
8.114,7.442
8.017,7.442
8.005,7.298
7.949,7.264
7.922,7.302
7.865,7.307
7.84,7.189
7.731,7.217
7.719,7.205
7.735,7.183
7.719,7.18
7.635,7.181
7.524,7.213
7.5,7.144
7.372,7.175
7.442,7.121
7.442,7.048
7.298,7.144
7.264,7.198
7.302,7.208
7.307,7.276
7.189,7.294
7.217,7.394
